dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_staff_attending,Year
02M519,Talent Unlimited High School,False,500301,"Dance, General","Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,12,18,2,2017-2018
02M519,Talent Unlimited High School,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,9101112,125,2,2017-2018
02M529,Jacqueline Kennedy Onassis High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,7,Non-Approved,9101112,225,3,2017-2018
02M529,Jacqueline Kennedy Onassis High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,3,Non-Approved,9101112,262,3,2017-2018
02M533,Union Square Academy for Health Sciences,True,510603,Dental Laboratory Technology/Technician,Health Science Cluster,3,Approved,9101112,195,3,2017-2018
02M533,Union Square Academy for Health Sciences,True,510805,Pharmacy Technician/Assistant,Health Science Cluster,4,Approved,9101112,200,3,2017-2018
02M542,Manhattan Bridges High School,False,110101,"Computer and Information Sciences, General",Information Technology Cluster,2,Non-Approved,9101112,268,3,2017-2018
02M542,Manhattan Bridges High School,False,151304,Civil Drafting and Civil Engineering CAD/CADD,Manufacturing Production Cluster,2,Non-Approved,9101112,175,3,2017-2018
02M546,Academy for Software Engineering,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,3,Non-Approved,9101112,376,8,2017-2018
02M551,Urban Assembly New York Harbor School,True,10303,Aquaculture,"Agriculture, Food and Natural Resources Cluster",2,Approved,9101112,75,6,2017-2018
02M551,Urban Assembly New York Harbor School,True,30205,"Water, Wetlands and Marine Resources Management","Agriculture, Food and Natural Resources Cluster",3,Approved,9101112,102,6,2017-2018
02M551,Urban Assembly New York Harbor School,True,150405,Robotics Technology/Technician,Manufacturing Production Cluster,2,Approved,9101112,83,6,2017-2018
02M551,Urban Assembly New York Harbor School,True,470616,Marine Maintenance/Fitter and Ship Repair Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,9101112,105,6,2017-2018
02M551,Urban Assembly New York Harbor School,True,490309,Marine Science/Merchant Marine Officer,"Transportation, Distribution and Logistics Cluster",2,Approved,9101112,72,6,2017-2018
02M551,Urban Assembly New York Harbor School,True,490399,"Marine Transportation, Other","Transportation, Distribution and Logistics Cluster",0,Non-Approved,9101112,75,6,2017-2018
02M600,The High School of Fashion Industries,True,190905,Apparel and Textile Marketing Management,Marketing Sales and Services Cluster,2,Approved,9101112,296,8,2017-2018
02M600,The High School of Fashion Industries,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,842,8,2017-2018
02M600,The High School of Fashion Industries,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,387,8,2017-2018
02M600,The High School of Fashion Industries,True,521902,Fashion Merchandising,Marketing Sales and Services Cluster,2,Approved,9101112,43,8,2017-2018
02M615,Chelsea Career and Technical Education High School,True,100303,Prepress/Desktop Publishing and Digital Imaging Design,Manufacturing Production Cluster,3,Approved,9101112,237,7,2017-2018
02M615,Chelsea Career and Technical Education High School,True,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,2,Approved,9101112,79,7,2017-2018
02M615,Chelsea Career and Technical Education High School,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,3,Non-Approved,9101112,114,7,2017-2018
02M630,Art and Design High School,True,100303,Prepress/Desktop Publishing and Digital Imaging Design,Manufacturing Production Cluster,3,Approved,9101112,143,15,2017-2018
02M630,Art and Design High School,True,100304,"Animation, Interactive Technology, Video Graphics and Special Effects",Manufacturing Production Cluster,2,Approved,9101112,128,15,2017-2018
02M630,Art and Design High School,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,3,Approved,9101112,115,15,2017-2018
02M630,Art and Design High School,True,500402,Commercial and Advertising Art,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,163,15,2017-2018
02M630,Art and Design High School,True,500406,Commercial Photography,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,9101112,69,15,2017-2018
02M630,Art and Design High School,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",4,Non-Approved,9101112,110,15,2017-2018
02M630,Art and Design High School,True,500410,Illustration,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,587,15,2017-2018
02M630,Art and Design High School,True,500602,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,109,15,2017-2018
03M299,The Maxine Greene HS for Imaginative Inquiry,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,101112,79,1,2017-2018
03M402,The Urban Assembly School for Green Careers,True,10601,"Applied Horticulture/Horticultural Operations, General","Agriculture, Food and Natural Resources Cluster",2,Non-Approved,9101112,105,2,2017-2018
03M402,The Urban Assembly School for Green Careers,True,460401,Building/Property Maintenance and Manager,Architecture and Construction Cluster,1,Approved,9101112,132,2,2017-2018
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500301,"Dance, General","Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,235,2,2017-2018
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,249,2,2017-2018
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500502,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,117,2,2017-2018
05M157,The Urban Assembly School for Global Commerce,True,520203,Logistics and Materials Management,"Transportation, Distribution and Logistics Cluster",2,Non-Approved,9101112,212,0,2017-2018
05M362,Columbia Secondary School,False,150101,Architectural Engineering Technology/Technician,Architecture and Construction Cluster,2,Non-Approved,9101112,402,1,2017-2018
06M211,Inwood Early College for Health and Information Te,True,110103,Information Technology,Information Technology Cluster,3,Non-Approved,9101112,329,8,2017-2018
06M211,Inwood Early College for Health and Information Te,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,0,Non-Approved,,0,8,2017-2018
06M467,High School for Law and Public Service,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,3,Non-Approved,9101112,243,1,2017-2018
07X259,"H.E.R.O. High (Health, Education, and Research Occ",True,511613,Licensed Practical/Vocational Nurse Training,Health Science Cluster,2,Non-Approved,9101112,452,1,2017-2018
07X522,Bronx Design and Construction Academy,True,150501,"Heating, Air Conditioning and Refrigeration Technology/Technician",Scientific Research and Engineering Cluster,3,Approved,9101112,46,16,2017-2018
07X522,Bronx Design and Construction Academy,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,2,Approved,9101112,79,16,2017-2018
07X522,Bronx Design and Construction Academy,True,460201,Carpentry/Carpenter,Architecture and Construction Cluster,3,Approved,9101112,87,16,2017-2018
07X522,Bronx Design and Construction Academy,True,460302,Electrician,Architecture and Construction Cluster,2,Approved,9101112,92,16,2017-2018
07X522,Bronx Design and Construction Academy,True,460503,Plumbing Technology/Plumber,Architecture and Construction Cluster,1,Non-Approved,9101112,107,16,2017-2018
07X600,Alfred E. Smith Career and Technical Education Hig,True,470603,Autobody/Collision and Repair Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,9101112,66,5,2017-2018
07X600,Alfred E. Smith Career and Technical Education Hig,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,9101112,281,5,2017-2018
07X600,Alfred E. Smith Career and Technical Education Hig,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",5,Approved,9101112,84,5,2017-2018
08X405,Herbert H. Lehman High School,False,110103,Information Technology,Information Technology Cluster,1,Non-Approved,9101112,222,5,2017-2018
08X530,Longwood Preparatory Academy,False,90702,Digital Communication and Media/Multimedia,"Arts, Audio/Video Technology and Communications Cluster",0,Non-Approved,9101112,149,5,2017-2018
08X559,School for Tourism and Hospitality,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,0,Non-Approved,9101112,256,1,2017-2018
09X324,Bronx Early College Academy for Teaching & Learnin,False,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,0,Non-Approved,9101112,198,2,2017-2018
09X365,Academy for Language and Technology,False,110101,"Computer and Information Sciences, General",Information Technology Cluster,0,Approved,9101112,225,3,2017-2018
09X365,Academy for Language and Technology,False,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,1,Approved,9101112,101,3,2017-2018
09X403,Bronx International High School,False,151001,Construction Engineering Technology/Technician,Architecture and Construction Cluster,3,Non-Approved,9101112,403,3,2017-2018
09X412,Bronx High School of Business,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,9101112,125,1,2017-2018
10X213,Bronx Engineering and Technology Academy,False,151399,"Drafting/Design Engineering Technologies/Technicians, Other",Manufacturing Production Cluster,1,Approved,9101112,356,5,2017-2018
